,0,1,2
0,Jan 29 12:51:39 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=21590 DF PROTO=TCP SPT=45425 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A02647D1C0000000001030300) 
1,Jan 29 12:51:43 myth sshd[11791]: Did not receive identification string from ,220.195.35.40,
2,Jan 29 13:05:00 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=27759 DF PROTO=TCP SPT=53309 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A0265B5C20000000001030300) 
3,Jan 29 13:05:04 myth sshd[11825]: Invalid user anonymous from ,220.195.35.40,
4,Jan 29 13:05:06 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=27266 DF PROTO=TCP SPT=56222 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A0265B8640000000001030300) 
5,Jan 29 13:05:10 myth sshd[11827]: Invalid user passwd from ,220.195.35.40,
6,Jan 29 13:05:11 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=9325 DF PROTO=TCP SPT=58989 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A0265BA120000000001030300) 
7,Jan 29 13:05:14 myth sshd[11829]: Invalid user chuck from ,220.195.35.40,
8,Jan 29 13:05:15 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=29715 DF PROTO=TCP SPT=33682 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A0265BBB50000000001030300) 
9,Jan 29 13:05:18 myth sshd[11831]: Invalid user darkman from ,220.195.35.40,
10,Jan 29 13:05:19 myth kernel: SFW2-INext-ACC-TCP IN=ppp0 OUT= MAC= SRC=,220.195.35.40, DST=216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=40 ID=48427 DF PROTO=TCP SPT=34273 DPT=22 WINDOW=5840 RES=0x00 SYN URGP=0 OPT (020405780402080A0265BD570000000001030300) 
11,Jan 29 13:05:22 myth sshd[11833]: Invalid user hostmaster from ,220.195.35.40,
